Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,1528-5039-ND,5039,Adafruit Industries LLC,RELEGENDABLE PLASTIC KEYCAPS FOR,,1,0,$4.95000,$4.95
2,CH197-ND,MX1A-E1NW,Cherry Americas LLC,SWITCH PUSH SPST-NO 0.01A 12V,,6,0,$1.25000,$7.50
3,MHR14N-ND,N3314-5302RB,3M,CONN HEADER R/A 14POS 2.54MM,,6,0,$3.17000,$19.02
4,609-4613-1-ND,10118192-0001LF,Amphenol ICC (FCI),CONN RCPT USB2.0 MICRO B SMD R/A,,1,0,$0.46000,$0.46
5,CP-002AH-ND,PJ-002AH,Same Sky (Formerly CUI Devices),CONN PWR JACK 2X5.5MM SOLDER,,1,0,$0.69000,$0.69
6,1965-ESP32-WROOM-32E-H4CT-ND,ESP32-WROOM-32E-H4,Espressif Systems,RF TXRX MOD BT WIFI TH SMD,,1,0,$2.68000,$2.68
7,768-1129-1-ND,FT231XS-R,"FTDI, Future Technology Devices International Ltd",IC USB SERIAL FULL UART 20SSOP,,1,0,$2.34000,$2.34
8,3365/14300SF-DS-ND,3365/14 300SF,3M,CBL RIBN 14COND 0.05 GRAY 300',,10,0,$0.84500,$8.45
9,MKC14A-ND,89114-0101,3M,CONN RCPT 14P IDC 26-28AWG GOLD,,10,0,$1.30400,$13.04
10,MKSR14-ND,3448-89114,3M,STRAIN RELIEF 14 POS IDC SOCKET,,10,0,$0.58700,$5.87
11,4530-BSS123CT-ND,BSS123,ANBON SEMICONDUCTOR (INT'L) LIMITED,N-CHANNEL ENHANCEMENT MODE MOSFE,,10,0,$0.09500,$0.95
12,DMP4015SSS-13DICT-ND,DMP4015SSS-13,Diodes Incorporated,MOSFET P-CH 40V 9.1A 8SO,,1,0,$0.79000,$0.79
13,31-AZ1117D-3.3TRE1CT-ND,AZ1117D-3.3TRE1,Diodes Incorporated,IC REG LINEAR 3.3V 1A TO252-3,,1,0,$0.40000,$0.40
14,311-27.0HRCT-ND,RC0603FR-0727RL,YAGEO,RES 27 OHM 1% 1/10W 0603,,10,0,$0.01900,$0.19
15,311-10.0KHRCT-ND,RC0603FR-0710KL,YAGEO,RES 10K OHM 1% 1/10W 0603,,50,0,$0.01120,$0.56
16,1276-1075-1-ND,CL31A106KAHNNNE,Samsung Electro-Mechanics,CAP CER 10UF 25V X5R 1206,,2,0,$0.19000,$0.38
17,1276-1184-1-ND,CL10B105KA8NNNC,Samsung Electro-Mechanics,CAP CER 1UF 25V X7R 0603,,1,0,$0.10000,$0.10
18,1276-1935-1-ND,CL10B104KB8NNWC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 0603,,20,0,$0.01800,$0.36
19,1727-2951-1-ND,"HEF4093BT,653",Nexperia USA Inc.,IC GATE NAND SCHMIT 4CH 2IN 14SO,,2,0,$0.41000,$0.82
20,MMBZ5242BLT3GOSCT-ND,MMBZ5242BLT3G,onsemi,DIODE ZENER 12V 225MW SOT23-3,,1,0,$0.14000,$0.14
21,576-1308-1-ND,MIC5841YWM-TR,Microchip Technology,IC PWR DRIVER BIPOLAR 1:8 18SOP,,5,0,$5.01000,$25.05
22,576-1311-1-ND,MIC5891YWM-TR,Microchip Technology,IC PWR DRIVER BIPOLAR 1:8 16SOIC,,5,0,$3.78000,$18.90
,,,,,,,,Subtotal,$113.64
